T (MeV);p(MeV/c);a(MeV cm^2/g);;;;b*E;;;;;;;T (MeV);a(MeV cm^2/g);b(cm^2/g)
1,00E+00;1,46E+01;2,64E+00;0,00E+00;0,00E+00;4,77E-05;4,77E-05;5,29E+00;2,31E-03;0;4,06E+01;;;1,0E+00;2,6E+00;4,77E-05
1,20E+00;1,60E+01;3,52E+01;0,00E+00;0,00E+00;4,78E-05;4,78E-05;3,52E+01;7,62E-03;0;3,52E+01;;;1,2E+00;3,5E+01;3,98E-05
1,40E+00;1,73E+01;3,11E+01;0,00E+00;0,00E+00;4,79E-05;4,79E-05;3,11E+01;1,37E-02;0;3,11E+01;;;1,4E+00;3,1E+01;3,42E-05
1,70E+00;1,90E+01;2,67E+01;0,00E+00;0,00E+00;4,80E-05;4,80E-05;2,67E+01;2,41E-02;0;2,67E+01;;;1,7E+00;2,7E+01;2,82E-05
2,00E+00;2,07E+01;2,34E+01;0,00E+00;0,00E+00;4,82E-05;4,82E-05;2,34E+01;3,62E-02;0;2,34E+01;;;2,0E+00;2,3E+01;2,41E-05
2,50E+00;2,31E+01;1,96E+01;0,00E+00;0,00E+00;4,84E-05;4,84E-05;1,96E+01;5,96E-02;0;1,96E+01;;;2,5E+00;2,0E+01;1,94E-05
3,00E+00;2,54E+01;1,69E+01;0,00E+00;0,00E+00;4,86E-05;4,86E-05;1,69E+01;8,71E-02;0;1,67E+01;;;3,0E+00;1,7E+01;1,62E-05
3,50E+00;2,74E+01;1,50E+01;0,00E+00;0,00E+00;4,88E-05;4,88E-05;1,50E+01;1,19E-01;0;1,46E+01;;;3,5E+00;1,5E+01;1,40E-05
4,00E+00;2,94E+01;1,35E+01;0,00E+00;0,00E+00;4,91E-05;4,91E-05;1,35E+01;1,54E-01;0;1,30E+01;;;4,0E+00;1,3E+01;1,23E-05
4,50E+00;3,12E+01;1,23E+01;0,00E+00;0,00E+00;4,93E-05;4,93E-05;1,23E+01;1,93E-01;0;1,18E+01;;;4,5E+00;1,2E+01;1,09E-05
5,00E+00;3,29E+01;1,13E+01;0,00E+00;0,00E+00;4,95E-05;4,95E-05;1,13E+01;2,35E-01;0;1,07E+01;;;5,0E+00;1,1E+01;9,90E-06
5,50E+00;3,45E+01;1,05E+01;0,00E+00;0,00E+00;4,97E-05;4,97E-05;1,05E+01;2,81E-01;0;9,90E+00;;;5,5E+00;1,0E+01;9,04E-06
6,00E+00;3,61E+01;9,78E+00;0,00E+00;0,00E+00;4,99E-05;4,99E-05;9,78E+00;3,31E-01;0;9,20E+00;;;6,0E+00;9,8E+00;8,32E-06
7,00E+00;3,91E+01;8,68E+00;0,00E+00;0,00E+00;5,04E-05;5,04E-05;8,68E+00;4,40E-01;0;8,08E+00;;;7,0E+00;8,7E+00;7,20E-06
8,00E+00;4,19E+01;7,83E+00;0,00E+00;0,00E+00;5,08E-05;5,08E-05;7,83E+00;5,61E-01;0;7,23E+00;;;8,0E+00;7,8E+00;6,36E-06
9,00E+00;4,45E+01;7,16E+00;0,00E+00;0,00E+00;5,13E-05;5,13E-05;7,16E+00;6,95E-01;0;6,57E+00;;;9,0E+00;7,2E+00;5,70E-06
1,00E+01;4,70E+01;6,62E+00;0,00E+00;0,00E+00;5,17E-05;5,17E-05;6,62E+00;8,40E-01;0;6,03E+00;;;1,0E+01;6,6E+00;5,17E-06
1,20E+01;5,18E+01;5,79E+00;0,00E+00;0,00E+00;5,26E-05;5,26E-05;5,79E+00;1,16E+00;0;5,22E+00;;;1,2E+01;5,8E+00;4,39E-06
1,40E+01;5,62E+01;5,18E+00;0,00E+00;0,00E+00;5,35E-05;5,35E-05;5,18E+00;1,53E+00;0;4,64E+00;;;1,4E+01;5,2E+00;3,82E-06
1,70E+01;6,23E+01;4,52E+00;0,00E+00;0,00E+00;5,49E-05;5,49E-05;4,52E+00;2,15E+00;0;4,01E+00;;;1,7E+01;4,5E+00;3,23E-06
2,00E+01;6,80E+01;4,06E+00;0,00E+00;0,00E+00;5,62E-05;5,62E-05;4,06E+00;2,85E+00;0;3,57E+00;;;2,0E+01;4,1E+00;2,81E-06
2,50E+01;7,69E+01;3,52E+00;0,00E+00;0,00E+00;5,84E-05;5,84E-05;3,52E+00;4,18E+00;0;3,06E+00;;;2,5E+01;3,5E+00;2,34E-06
3,00E+01;8,51E+01;3,16E+00;0,00E+00;0,00E+00;6,07E-05;6,07E-05;3,16E+00;5,69E+00;0;2,73E+00;;;3,0E+01;3,2E+00;2,02E-06
3,50E+01;9,29E+01;2,90E+00;0,00E+00;0,00E+00;6,29E-05;6,29E-05;2,90E+00;7,34E+00;0;2,49E+00;;;3,5E+01;2,9E+00;1,80E-06
4,00E+01;1,00E+02;2,70E+00;0,00E+00;0,00E+00;6,52E-05;6,52E-05;2,70E+00;9,13E+00;0;2,30E+00;;;4,0E+01;2,7E+00;1,63E-06
4,50E+01;1,07E+02;2,55E+00;0,00E+00;0,00E+00;6,74E-05;6,74E-05;2,55E+00;1,10E+01;0;2,16E+00;;;4,5E+01;2,6E+00;1,50E-06
5,00E+01;1,14E+02;2,43E+00;5,45E-07;0,00E+00;6,96E-05;7,02E-05;2,43E+00;1,31E+01;0;2,05E+00;;;5,0E+01;2,4E+00;1,40E-06
5,50E+01;1,21E+02;2,33E+00;1,38E-06;0,00E+00;7,19E-05;7,33E-05;2,33E+00;1,52E+01;-0,0008;1,96E+00;;;5,5E+01;2,3E+00;1,33E-06
6,00E+01;1,28E+02;2,25E+00;2,25E-06;0,00E+00;7,41E-05;7,63E-05;2,25E+00;1,73E+01;-0,0027;1,89E+00;;;6,0E+01;2,2E+00;1,27E-06
7,00E+01;1,40E+02;2,12E+00;4,04E-06;0,00E+00;7,86E-05;8,26E-05;2,12E+00;2,19E+01;-0,0062;1,77E+00;;;7,0E+01;2,1E+00;1,18E-06
8,00E+01;1,53E+02;2,03E+00;5,94E-06;0,00E+00;8,30E-05;8,90E-05;2,03E+00;2,68E+01;-0,0095;1,68E+00;;;8,0E+01;2,0E+00;1,11E-06
9,00E+01;1,65E+02;1,96E+00;7,91E-06;0,00E+00;8,75E-05;9,54E-05;1,96E+00;3,18E+01;-0,0125;1,61E+00;;;9,0E+01;2,0E+00;1,06E-06
1,00E+02;1,76E+02;1,90E+00;9,97E-06;0,00E+00;9,20E-05;1,02E-04;1,90E+00;3,70E+01;-0,0154;1,56E+00;;;1,0E+02;1,9E+00;1,02E-06
1,20E+02;1,99E+02;1,83E+00;1,43E-05;0,00E+00;1,01E-04;1,15E-04;1,83E+00;4,77E+01;-0,0208;1,48E+00;;;1,2E+02;1,8E+00;9,61E-07
1,40E+02;2,22E+02;1,78E+00;1,90E-05;0,00E+00;1,10E-04;1,29E-04;1,78E+00;5,88E+01;-0,0257;1,43E+00;;;1,4E+02;1,8E+00;9,20E-07
1,70E+02;2,55E+02;1,73E+00;2,64E-05;0,00E+00;1,23E-04;1,50E-04;1,74E+00;7,59E+01;-0,0326;1,38E+00;;;1,7E+02;1,7E+00;8,81E-07
2,00E+02;2,87E+02;1,71E+00;3,44E-05;0,00E+00;1,37E-04;1,71E-04;1,71E+00;9,33E+01;-0,039;1,35E+00;;;2,0E+02;1,7E+00;8,56E-07
2,50E+02;3,40E+02;1,69E+00;4,87E-05;0,00E+00;1,59E-04;2,08E-04;1,69E+00;1,23E+02;-0,0488;1,32E+00;;;2,5E+02;1,7E+00;8,31E-07
2,97E+02;3,88E+02;1,69E+00;6,42E-05;0,00E+00;1,82E-04;2,46E-04;1,69E+00;Minimum;ionization;;;;3,0E+02;1,7E+00;8,27E-07
3,00E+02;3,92E+02;1,69E+00;6,42E-05;0,00E+00;1,82E-04;2,46E-04;1,69E+00;1,52E+02;-0,0578;1,30E+00;;;3,0E+02;1,7E+00;8,19E-07
3,50E+02;4,43E+02;1,69E+00;8,06E-05;0,00E+00;2,04E-04;2,85E-04;1,69E+00;1,82E+02;-0,0662;1,29E+00;;;3,5E+02;1,7E+00;8,13E-07
4,00E+02;4,95E+02;1,70E+00;9,80E-05;0,00E+00;2,26E-04;3,24E-04;1,70E+00;2,11E+02;-0,0741;1,29E+00;;;4,0E+02;1,7E+00;8,11E-07
4,50E+02;5,46E+02;1,71E+00;1,16E-04;0,00E+00;2,49E-04;3,65E-04;1,71E+00;2,41E+02;-0,0815;1,28E+00;;;4,5E+02;1,7E+00;8,10E-07
5,00E+02;5,96E+02;1,72E+00;1,35E-04;0,00E+00;2,71E-04;4,06E-04;1,72E+00;2,70E+02;-0,0885;1,28E+00;;;5,0E+02;1,7E+00;8,12E-07
5,50E+02;6,47E+02;1,73E+00;1,55E-04;0,00E+00;2,93E-04;4,48E-04;1,73E+00;2,99E+02;-0,0952;1,28E+00;;;5,5E+02;1,7E+00;8,14E-07
6,00E+02;6,98E+02;1,74E+00;1,75E-04;0,00E+00;3,16E-04;4,90E-04;1,74E+00;3,28E+02;-0,1015;1,28E+00;;;6,0E+02;1,7E+00;8,17E-07
7,00E+02;7,99E+02;1,76E+00;2,17E-04;0,00E+00;3,60E-04;5,77E-04;1,76E+00;3,85E+02;-0,1133;1,28E+00;;;7,0E+02;1,8E+00;8,24E-07
8,00E+02;9,00E+02;1,77E+00;2,61E-04;0,00E+00;4,05E-04;6,66E-04;1,78E+00;4,42E+02;-0,1242;1,29E+00;;;8,0E+02;1,8E+00;8,32E-07
9,00E+02;1,00E+03;1,79E+00;3,07E-04;0,00E+00;4,50E-04;7,56E-04;1,79E+00;4,98E+02;-0,1343;1,29E+00;;;9,0E+02;1,8E+00;8,40E-07
1,00E+03;1,10E+03;1,81E+00;3,54E-04;1,73E-05;4,95E-04;8,66E-04;1,81E+00;5,53E+02;-0,1436;1,29E+00;;;1,0E+03;1,8E+00;8,66E-07
1,20E+03;1,30E+03;1,84E+00;4,53E-04;8,55E-05;5,84E-04;1,12E-03;1,84E+00;6,63E+02;-0,1607;1,30E+00;;;1,2E+03;1,8E+00;9,36E-07
1,40E+03;1,50E+03;1,86E+00;5,57E-04;1,63E-04;6,74E-04;1,39E-03;1,86E+00;7,71E+02;-0,1759;1,30E+00;;;1,4E+03;1,9E+00;9,96E-07
1,70E+03;1,80E+03;1,89E+00;7,21E-04;2,94E-04;8,08E-04;1,82E-03;1,90E+00;9,31E+02;-0,1959;1,31E+00;;;1,7E+03;1,9E+00;1,07E-06
2,00E+03;2,10E+03;1,92E+00;8,93E-04;4,40E-04;9,45E-04;2,28E-03;1,92E+00;1,09E+03;-0,2136;1,31E+00;;;2,0E+03;1,9E+00;1,14E-06
2,50E+03;2,60E+03;1,96E+00;1,20E-03;7,10E-04;1,19E-03;3,09E-03;1,96E+00;1,35E+03;-0,2388;1,32E+00;;;2,5E+03;2,0E+00;1,24E-06
3,00E+03;3,10E+03;1,99E+00;1,51E-03;1,01E-03;1,43E-03;3,95E-03;1,99E+00;1,60E+03;-0,2604;1,32E+00;;;3,0E+03;2,0E+00;1,32E-06
3,50E+03;3,60E+03;2,01E+00;1,84E-03;1,33E-03;1,68E-03;4,85E-03;2,02E+00;1,85E+03;-0,2792;1,33E+00;;;3,5E+03;2,0E+00;1,39E-06
4,00E+03;4,10E+03;2,03E+00;2,18E-03;1,68E-03;1,93E-03;5,79E-03;2,04E+00;2,10E+03;-0,2959;1,33E+00;;;4,0E+03;2,0E+00;1,45E-06
4,50E+03;4,60E+03;2,05E+00;2,54E-03;2,04E-03;2,18E-03;6,75E-03;2,06E+00;2,34E+03;-0,3109;1,33E+00;;;4,5E+03;2,1E+00;1,50E-06
5,00E+03;5,11E+03;2,07E+00;2,90E-03;2,42E-03;2,42E-03;7,75E-03;2,08E+00;2,58E+03;-0,3245;1,33E+00;;;5,0E+03;2,1E+00;1,55E-06
5,50E+03;5,61E+03;2,08E+00;3,27E-03;2,83E-03;2,65E-03;8,76E-03;2,09E+00;2,82E+03;-0,337;1,34E+00;;;5,5E+03;2,1E+00;1,59E-06
6,00E+03;6,11E+03;2,10E+00;3,66E-03;3,25E-03;2,88E-03;9,79E-03;2,11E+00;3,06E+03;-0,3486;1,34E+00;;;6,0E+03;2,1E+00;1,63E-06
7,00E+03;7,11E+03;2,12E+00;4,44E-03;4,13E-03;3,33E-03;1,19E-02;2,13E+00;3,53E+03;-0,3693;1,34E+00;;;7,0E+03;2,1E+00;1,70E-06
8,00E+03;8,11E+03;2,14E+00;5,25E-03;5,06E-03;3,78E-03;1,41E-02;2,15E+00;4,00E+03;-0,3876;1,34E+00;;;8,0E+03;2,1E+00;1,76E-06
9,00E+03;9,11E+03;2,16E+00;6,09E-03;6,03E-03;4,23E-03;1,63E-02;2,17E+00;4,46E+03;-0,4039;1,34E+00;;;9,0E+03;2,2E+00;1,82E-06
1,00E+04;1,01E+04;2,17E+00;6,94E-03;7,04E-03;4,67E-03;1,86E-02;2,19E+00;4,92E+03;-0,4187;1,34E+00;;;1,0E+04;2,2E+00;1,86E-06
1,20E+04;1,21E+04;2,20E+00;8,71E-03;9,19E-03;5,53E-03;2,34E-02;2,22E+00;5,83E+03;-0,4446;1,35E+00;;;1,2E+04;2,2E+00;1,95E-06
1,40E+04;1,41E+04;2,22E+00;1,05E-02;1,15E-02;6,38E-03;2,84E-02;2,24E+00;6,72E+03;-0,4667;1,35E+00;;;1,4E+04;2,2E+00;2,03E-06
1,70E+04;1,71E+04;2,24E+00;1,34E-02;1,51E-02;7,65E-03;3,61E-02;2,28E+00;8,05E+03;-0,4949;1,35E+00;;;1,7E+04;2,2E+00;2,12E-06
2,00E+04;2,01E+04;2,26E+00;1,63E-02;1,88E-02;8,89E-03;4,40E-02;2,31E+00;9,36E+03;-0,5188;1,35E+00;;;2,0E+04;2,3E+00;2,20E-06
2,50E+04;2,51E+04;2,29E+00;2,14E-02;2,56E-02;1,10E-02;5,80E-02;2,35E+00;1,15E+04;-0,5519;1,35E+00;;;2,5E+04;2,3E+00;2,32E-06
3,00E+04;3,01E+04;2,31E+00;2,67E-02;3,27E-02;1,30E-02;7,24E-02;2,38E+00;1,36E+04;-0,5792;1,35E+00;;;3,0E+04;2,3E+00;2,41E-06
3,50E+04;3,51E+04;2,33E+00;3,21E-02;4,02E-02;1,51E-02;8,73E-02;2,42E+00;1,57E+04;-0,6025;1,35E+00;;;3,5E+04;2,3E+00;2,49E-06
